instance_id,n,budget,density,seed,solver,p,sweeps,num_reads,shots,maxiter,best_bitstring,selected,energy,exact_energy,gap,success_prob,wall_time_sec,transpile_time_sec,qpu_seconds,gamma_beta,note
n4_k2_d0.5_seed2,4,2,0.5,2,SA,,1000.0,200.0,,,0110,2,0.3782821000729566,0.37828210007295837,-4.695852219964013e-15,0.235,0.012326699994446244,,,,ok
n4_k2_d0.5_seed2,4,2,0.5,2,SA,,5000.0,200.0,,,0110,2,0.3782821000729566,0.37828210007295837,-4.695852219964013e-15,0.165,0.05227800000284333,,,,ok
n4_k2_d0.5_seed2,4,2,0.5,2,SQA,,100.0,200.0,,,0110,2,0.3782821000729566,0.37828210007295837,-4.695852219964013e-15,0.19,0.02873179999733111,,,,ok
n4_k2_d0.5_seed2,4,2,0.5,2,SQA,,1000.0,200.0,,,0110,2,0.3782821000729566,0.37828210007295837,-4.695852219964013e-15,0.215,0.2975774000005913,,,,ok
n4_k2_d0.5_seed2,4,2,0.5,2,SQA,,5000.0,200.0,,,0110,2,0.3782821000729566,0.37828210007295837,-4.695852219964013e-15,0.22,1.4414920000053826,,,,ok
n4_k2_d0.5_seed2,4,2,0.5,2,QAOA_STATEVECTOR,1.0,,,none,60.0,0110,2,0.37828210007295837,0.37828210007295837,0.0,0.1282142940456608,0.19118080000043847,,,"{""gammas"": [0.6677412610446368], ""betas"": [1.1836820343319798]}",optimizer_fun=5.300964
n4_k2_d0.5_seed2,4,2,0.5,2,QAOA_STATEVECTOR,2.0,,,none,60.0,0110,2,0.37828210007295837,0.37828210007295837,0.0,0.15081703042337374,0.2598029000000679,,,"{""gammas"": [1.2991595885272167, 0.9900333904808447], ""betas"": [1.3371322894780402, 0.09033155121499925]}",optimizer_fun=4.436707
n4_k2_d0.5_seed2,4,2,0.5,2,QAOA_SHOT_SIM,1.0,,,1024,60.0,0110,2,0.37828210007295837,0.37828210007295837,0.0,0.130859375,0.1302369000040926,,,"{""gammas"": [0.6677412610446368], ""betas"": [1.1836820343319798]}",ok
n4_k2_d0.5_seed2,4,2,0.5,2,QAOA_SHOT_SIM,2.0,,,1024,60.0,0110,2,0.37828210007295837,0.37828210007295837,0.0,0.15625,0.17064539999410044,,,"{""gammas"": [1.2991595885272167, 0.9900333904808447], ""betas"": [1.3371322894780402, 0.09033155121499925]}",ok
n4_k2_d0.5_seed3,4,2,0.5,3,CPLEX_EXACT,,,,,,1001,2,-0.02890380443953333,-0.02890380443953333,0.0,1.0,0.18010839999624295,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,SA,,100.0,200.0,,,1001,2,-0.028903804439531555,-0.02890380443953333,6.145754421762655e-14,0.19,0.0022500999984913506,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,SA,,1000.0,200.0,,,1001,2,-0.028903804439531555,-0.02890380443953333,6.145754421762655e-14,0.2,0.00963190000038594,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,SA,,5000.0,200.0,,,1001,2,-0.028903804439531555,-0.02890380443953333,6.145754421762655e-14,0.185,0.04443870000250172,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,SQA,,100.0,200.0,,,1001,2,-0.028903804439531555,-0.02890380443953333,6.145754421762655e-14,0.17,0.03106600000319304,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,SQA,,1000.0,200.0,,,1001,2,-0.028903804439531555,-0.02890380443953333,6.145754421762655e-14,0.23,0.2919564999974682,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,SQA,,5000.0,200.0,,,1001,2,-0.028903804439531555,-0.02890380443953333,6.145754421762655e-14,0.26,1.5330976999975974,,,,ok
n4_k2_d0.5_seed3,4,2,0.5,3,QAOA_STATEVECTOR,1.0,,,none,60.0,1001,2,-0.02890380443953333,-0.02890380443953333,0.0,0.18115044298667682,0.21016119999694638,,,"{""gammas"": [1.2948558618523485], ""betas"": [1.01507600163222]}",optimizer_fun=6.752127
n4_k2_d0.5_seed3,4,2,0.5,3,QAOA_STATEVECTOR,2.0,,,none,60.0,1001,2,-0.02890380443953333,-0.02890380443953333,0.0,0.16845441535578448,0.28366230000392534,,,"{""gammas"": [-0.040969732390373534, 1.2839956026121702], ""betas"": [2.0542973979918706, 1.370567731065023]}",optimizer_fun=3.310773
n4_k2_d0.5_seed3,4,2,0.5,3,QAOA_SHOT_SIM,1.0,,,1024,60.0,1001,2,-0.02890380443953333,-0.02890380443953333,0.0,0.177734375,0.1371445999975549,,,"{""gammas"": [1.2948558618523485], ""betas"": [1.01507600163222]}",ok
n4_k2_d0.5_seed3,4,2,0.5,3,QAOA_SHOT_SIM,2.0,,,1024,60.0,1001,2,-0.02890380443953333,-0.02890380443953333,0.0,0.1689453125,0.21225679999770364,,,"{""gammas"": [-0.040969732390373534, 1.2839956026121702], ""betas"": [2.0542973979918706, 1.370567731065023]}",ok
n4_k2_d0.5_seed4,4,2,0.5,4,CPLEX_EXACT,,,,,,1100,2,0.9225539945480108,0.9225539945480108,0.0,1.0,0.12828949999675388,,,,ok
n4_k2_d0.5_seed4,4,2,0.5,4,SA,,100.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.185,0.0025788000057218596,,,,ok
n4_k2_d0.5_seed4,4,2,0.5,4,SA,,1000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.19,0.013044500003161374,,,,ok
n4_k2_d0.5_seed4,4,2,0.5,4,SA,,5000.0,200.0,,,1100,2,0.9225539945480126,0.9225539945480108,1.9254773703197127e-15,0.21,0.06085510000411887,,,,ok
